Year,State,Total Area of State,Area_aff,Wages
2019,Andaman And Nicobar Islands,6308.9,0.0,346
2019,Andhra Pradesh,6091603.069,1.67,292
2019,Arunachal Pradesh,507239.6357,0.01,282
2019,Assam,3264869.728,0.31,253
2019,Bihar,7396922.588,0.0,237
2019,Chandigarh,1426.0,0.0,341
2019,Chhattisgarh,5678400.525,0.0,174
2019,Dadra And Nagar Haveli,70014.87075,0.0,326
2019,Delhi,33332.0,0.0,296
2019,Goa,40077.4,0.0,319
2019,Gujarat,10242633.49,0.0,189
2019,Haryana,6503550.725,0.0,361
2019,Himachal Pradesh,713950.0,0.45,277
2019,Jammu And Kashmir,1184409.302,0.0,257
2019,Jharkhand,3005564.0,0.0,233
2019,Karnataka,10678278.56,3.63,338
2019,Kerala,685554.8719,1.0,636
2019,Ladakh,882838.8742,0.0,257
2019,Madhya Pradesh,23491090.0,0.0,228
2019,Maharashtra,21264082.53,0.0,225
2019,Manipur,239996.8,0.06,463
2019,Meghalaya,189832.698,0.02,466
2019,Mizoram,393989.9093,0.0,312
2019,Nagaland,421920.0,0.05,292
2019,Odisha,5774506.155,3.9,284
2019,Puducherry,433060.5086,0.0,312
2019,Punjab,7356807.588,0.52,398
2019,Rajasthan,22779506.44,0.0,319
2019,Sikkim,207971.6425,0.0,478
2019,Tamil Nadu,4903585.144,1.22,275
2019,Telangana,6155092.365,0.0,304
2019,Tripura,326795.0,0.32,280
2019,Uttar Pradesh,24639768.51,2.9,229
2019,Uttarakhand,923000.0,0.55,271
2019,West Bengal,9068906.327,0.49,237
2020,Andaman And Nicobar Islands,6950.5,0.0,346
2020,Andhra Pradesh,6106083.739,0.0,292
2020,Arunachal Pradesh,447386.7965,0.0,313
2020,Assam,3295008.992,2.0,253
2020,Bihar,7439984.042,2.61,237
2020,Chandigarh,634.0,0.0,346
2020,Chhattisgarh,5655586.763,0.02,174
2020,Dadra And Nagar Haveli,251015.7016,0.0,478
2020,Delhi,33340.0,0.0,346
2020,Goa,37136.0,0.0,319
2020,Gujarat,10819093.92,0.0,189
2020,Haryana,6496741.1,0.0,361
2020,Himachal Pradesh,739364.0,0.0,277
2020,Jammu And Kashmir,1126912.793,0.0,259
2020,Jharkhand,3324619.0,0.0,233
2020,Karnataka,11390474.57,9.35,338
2020,Kerala,787802.0825,0.36,636
2020,Ladakh,817559.1095,0.0,321
2020,Madhya Pradesh,23901000.0,60.47,228
2020,Maharashtra,22121556.15,4.17,225
2020,Manipur,327510.0,0.0,314
2020,Meghalaya,-9121.294061,0.0,346
2020,Mizoram,406414.5683,0.0,313
2020,Nagaland,421815.0,0.0,313
2020,Odisha,5894462.583,1.49,284
2020,Puducherry,360928.0734,0.0,314
2020,Punjab,7360360.74,1.51,398
2020,Rajasthan,22359065.3,23.92,319
