Crop,State,Crop_Year,Area_(in_Ha),Production_(in_Tonnes),Yield_(kg/Ha),MSP,Annual_rainfall,cost_of_prod,Harvest_Price
Bajra,Andhra Pradesh,2019,25000.0,58200.0,2328.0,2000.0,2.567726027,1288.21,2043.45
Bajra,Bihar,2019,3159.0,3582.0,1134.0,2000.0,3.32509589,1752.99,1181.0
Bajra,Chhattisgarh,2019,0.0,0.0,0.0,2000.0,3.877863014,1770.29,2600.0
Bajra,Dadra And Nagar Haveli,2019,52314.87075,1227439.268,9375.547154,2000.0,10.46120548,1068.02,1957.06
Bajra,Delhi,2019,1475.0,3240.0,2197.0,2000.0,1.368410959,1338.78,1970.12
Bajra,Gujarat,2019,435250.0,913155.0,2098.0,2000.0,2.93460274,981.0,1911.09
Bajra,Haryana,2019,492800.0,1019110.0,2068.0,2000.0,1.095753425,1078.0,1932.74
Bajra,Himachal Pradesh,2019,107.0,109.0,1020.0,2000.0,3.314136986,1747.47,1762.98
Bajra,Jammu And Kashmir,2019,9779.0,5819.0,595.0,2000.0,3.29139726,1749.85,1977.33
Bajra,Jharkhand,2019,288.0,205.0,711.0,2000.0,3.205917808,1689.08,1889.28
Bajra,Karnataka,2019,322000.0,367080.0,1140.0,2000.0,3.678,1725.19,1992.25
Bajra,Kerala,2019,225487.4774,2199312.043,10050.73788,2000.0,7.62169863,1004.52,2157.41
Bajra,Madhya Pradesh,2019,295890.0,656580.0,2219.0,2000.0,3.862794521,1333.8,2018.75
Bajra,Maharashtra,2019,672780.0,511986.0,761.0,2000.0,4.069369863,1573.0,2119.38
Bajra,Nagaland,2019,710.0,720.0,1014.0,2000.0,4.291726027,1773.27,2052.32
Bajra,Odisha,2019,1870.0,1159.0,620.0,2000.0,4.413178082,1768.45,2455.82
Bajra,Puducherry,2019,22.0,57.0,2591.0,2000.0,3.491369863,1312.6,2101.37
Bajra,Punjab,2019,500.0,318.0,635.0,2000.0,1.941232877,1672.46,1488.0
Bajra,Rajasthan,2019,4287170.0,4685877.0,1093.0,2000.0,1.792739726,857.0,1493.0
Bajra,Tamil Nadu,2019,67490.0,185125.0,2743.0,2000.0,2.565068493,1334.92,2067.41
Bajra,Telangana,2019,9000.0,10422.0,1158.0,2000.0,3.049972603,1709.29,1942.65
Bajra,Uttar Pradesh,2019,917000.0,1939455.0,2115.0,2000.0,2.394109589,809.0,1939.58
Bajra,West Bengal,2019,68.0,27.0,401.0,2000.0,4.697041096,1765.43,2871.52
Barley,Bihar,2019,7449.0,10198.0,1369.0,1525.0,3.32509589,1686.58,2358.12
Barley,Chhattisgarh,2019,1670.0,1017.0,609.0,1525.0,3.877863014,1777.51,2487.0
Barley,Delhi,2019,60.0,180.0,3000.0,1525.0,1.368410959,1026.03,1792.18
Barley,Haryana,2019,12120.0,46504.0,3837.0,1525.0,1.095753425,1032.36,1906.0
Barley,Himachal Pradesh,2019,20404.0,30810.0,1510.0,1525.0,3.314136986,1599.0,2271.0
Barley,Jammu And Kashmir,2019,7488.0,4485.0,599.0,1525.0,3.29139726,1766.71,2264.89
Barley,Ladakh,2019,0.0,0.0,0.0,1525.0,1.420876712,1716.64,2081.08
Barley,Madhya Pradesh,2019,30000.0,63930.0,2131.0,1525.0,3.862794521,1423.41,2329.21
Barley,Punjab,2019,6200.0,22593.0,3644.0,1525.0,1.941232877,1028.26,1798.73
Barley,Rajasthan,2019,301240.0,979331.0,3251.0,1525.0,1.792739726,849.0,2041.9
Barley,Sikkim,2019,401.0,462.0,1151.0,1525.0,8.967835616,1780.75,2294.22
Barley,Uttar Pradesh,2019,167000.0,523044.0,3132.0,1525.0,2.394109589,834.0,1865.45
Barley,Uttarakhand,2019,24000.0,34344.0,1431.0,1525.0,4.201315068,1668.77,2365.58
Barley,West Bengal,2019,278.0,599.0,2155.0,1525.0,4.697041096,1313.28,2403.94
Castorseed,Andhra Pradesh,2019,38000.0,25992.0,684.0,5556.0,2.567726027,3690.39,4960.488
Castorseed,Assam,2019,748.0,338.0,452.0,5556.0,5.826712329,4005.19,7733.0
Castorseed,Bihar,2019,87.0,84.0,966.0,5525.0,3.32509589,3023.81,7767.39
Castorseed,Gujarat,2019,736590.0,1431931.0,1944.0,1909.8,2.93460274,1582.53,4804.0
Castorseed,Haryana,2019,4200.0,4318.0,1028.0,5517.65,1.095753425,2987.73,4747.670333
Castorseed,Jharkhand,2019,58.0,34.0,594.0,5556.0,3.205917808,3966.96,8088.43
Castorseed,Karnataka,2019,4000.0,3880.0,970.0,5572.57,3.678,3315.71,4342.58
Castorseed,Madhya Pradesh,2019,7000.0,2730.0,390.0,5556.0,3.862794521,4168.12,4524.06
Castorseed,Maharashtra,2019,10630.0,3242.0,305.0,5556.0,4.069369863,4260.63,4382.32
Castorseed,Meghalaya,2019,70.0,63.0,903.0,5556.0,10.57309589,3426.01,7099.2
Castorseed,Nagaland,2019,360.0,240.0,667.0,5556.0,4.291726027,4055.76,7108.6
Castorseed,Odisha,2019,6790.0,4244.0,625.0,5556.0,4.413178082,4125.99,4342.73
Castorseed,Rajasthan,2019,204318.0,326500.0,1598.0,4527.75,1.792739726,2102.58,4533.49
Castorseed,Tamil Nadu,2019,5260.0,1641.0,312.0,5556.0,2.565068493,4082.26,4556.0
Castorseed,Telangana,2019,28000.0,36680.0,1310.0,5511.4,3.049972603,2996.9,4896.575833
Cotton,Andhra Pradesh,2019,657000.0,2508000.0,649.0,5550.0,2.567726027,3344.0,5229.413167
Cotton,Assam,2019,0.0,0.0,0.0,5550.0,5.826712329,4085.31,4733.0
Cotton,Chhattisgarh,2019,0.0,0.0,0.0,5550.0,3.877863014,4213.01,1813.0
Cotton,Gujarat,2019,2655000.0,8617000.0,552.0,5550.0,2.93460274,2998.0,3638.0
Cotton,Gujarat,2019,2655000.0,8617000.0,552.0,5550.0,2.93460274,2998.0,4981.0
Cotton,Haryana,2019,723000.0,2484000.0,584.0,5550.0,1.095753425,2729.0,5476.0
Cotton,Haryana,2019,723000.0,2484000.0,584.0,5550.0,1.095753425,2729.0,5300.0
Cotton,Karnataka,2019,817000.0,2330000.0,485.0,5550.0,3.678,3253.0,4631.601
